RT,SERIALNO,PUMA,HHL,HHT
H,1,100,2.0,1.0
H,14,3200,2.0,1.0
H,20,4624,1.0,4.0
H,46,4606,2.0,4.0
H,53,2102,1.0,3.0
H,109,5907,2.0,2.0
H,137,2315,3.0,2.0
H,144,2512,2.0,1.0
H,153,6703,2.0,1.0
H,154,5201,1.0,1.0
H,155,6801,2.0,1.0
H,159,2509,1.0,1.0
H,163,2321,4.0,1.0
H,195,4609,1.0,1.0
H,199,6603,4.0,3.0
H,204,5904,,
H,212,4200,1.0,4.0
H,216,3801,,
H,222,2306,1.0,1.0
H,228,1100,1.0,3.0
H,254,3200,1.0,1.0
H,256,4620,1.0,1.0
H,326,1800,1.0,4.0
H,329,1200,1.0,1.0
H,355,2004,1.0,1.0
H,371,4606,2.0,1.0
H,386,5203,1.0,4.0
H,434,2006,2.0,1.0
H,452,2700,,
H,470,200,1.0,1.0
H,473,4620,1.0,1.0
H,479,2001,1.0,1.0
H,513,3301,1.0,3.0
H,529,4701,,
H,535,3602,1.0,1.0
H,549,3601,1.0,2.0
H,555,3602,3.0,1.0
H,559,3303,2.0,2.0
H,565,2311,,
H,593,100,1.0,3.0
H,604,400,1.0,1.0
H,624,3601,,
H,631,502,1.0,5.0
H,644,6807,2.0,1.0
H,656,2512,2.0,3.0
H,658,5905,2.0,4.0
H,664,4612,2.0,1.0
H,672,4903,1.0,1.0
H,702,2302,1.0,1.0
H,727,2400,1.0,3.0
H,730,5204,1.0,1.0
H,735,1300,1.0,1.0
H,742,5202,2.0,4.0
H,751,1800,,
H,759,5000,2.0,6.0
H,762,2321,2.0,1.0
H,778,4607,2.0,5.0
H,799,6200,2.0,1.0
H,826,4801,1.0,1.0
H,869,4626,2.0,1.0
H,875,5700,1.0,1.0
H,893,5800,2.0,1.0
H,910,4623,2.0,3.0
H,918,3700,1.0,1.0
H,920,4611,2.0,2.0
H,924,3900,,
H,928,4605,1.0,1.0
H,934,2310,1.0,4.0
H,957,3801,2.0,3.0
H,980,3305,2.0,1.0
H,1005,700,1.0,1.0
H,1022,600,1.0,6.0
H,1036,2515,,
H,1054,3602,1.0,3.0
H,1087,3801,1.0,3.0
H,1099,600,1.0,1.0
H,1127,5915,1.0,1.0
H,1132,4607,1.0,3.0
H,1136,800,1.0,4.0
H,1165,4000,1.0,4.0
H,1166,5100,1.0,6.0
H,1175,1700,2.0,1.0
H,1178,5202,1.0,5.0
H,1189,6000,2.0,1.0
H,1209,3700,,
H,1212,5915,1.0,1.0
H,1224,2600,2.0,1.0
H,1226,6603,4.0,2.0
H,1259,2501,1.0,3.0
H,1267,4604,1.0,4.0
H,1293,5500,1.0,1.0
H,1295,5100,2.0,1.0
H,1311,2501,1.0,1.0
H,1335,5903,1.0,1.0
H,1342,2511,1.0,4.0
H,1352,4902,,
H,1355,6200,1.0,1.0
H,1358,5901,,
H,1403,5905,,
H,1405,6702,,
H,1413,1906,1.0,4.0
H,1416,4623,1.0,1.0
H,1424,1000,2.0,7.0
H,1427,4100,1.0,1.0
H,1433,3802,2.0,1.0
H,1437,5911,2.0,1.0
H,1444,3301,2.0,1.0
H,1451,2304,2.0,4.0
H,1462,6200,2.0,1.0
H,1495,1800,1.0,4.0
H,1497,2313,1.0,6.0
H,1508,4621,1.0,1.0
H,1514,800,1.0,1.0
H,1517,3900,2.0,1.0
H,1529,4635,1.0,1.0
H,1535,2319,1.0,7.0
H,1541,2310,1.0,5.0
H,1567,1600,1.0,1.0
H,1577,3305,,
H,1589,2800,1.0,4.0
H,1622,2004,1.0,1.0
H,1624,6805,2.0,4.0
H,1634,4400,,
H,1636,2306,1.0,6.0
H,1642,6702,2.0,3.0
H,1681,2314,1.0,4.0
H,1683,1800,,
H,1695,6900,1.0,3.0
H,1697,5307,2.0,6.0
H,1700,3502,1.0,1.0
H,1710,3400,,
H,1736,5906,2.0,5.0
H,1756,2600,1.0,4.0
H,1758,400,2.0,6.0
H,1759,5203,1.0,1.0
H,1770,4638,4.0,3.0
H,1792,1100,1.0,7.0
H,1805,5906,2.0,3.0
H,1819,800,1.0,4.0
H,1822,6807,2.0,1.0
H,1824,5916,1.0,1.0
H,1826,700,1.0,2.0
H,1837,6804,2.0,5.0
H,1841,4605,1.0,1.0
H,1866,4612,3.0,1.0
H,1870,4702,1.0,6.0
H,1874,2512,2.0,1.0
H,1877,3303,2.0,1.0
H,1885,5204,1.0,6.0
H,1893,3501,1.0,1.0
H,1902,2506,2.0,6.0
H,1905,5910,1.0,6.0
